성별,나이,키,몸무게,BMI,BMI_분류,추천 운동 횟수,추천식단
남성,15,183,91,27.2,비만 1단계,3,채식
여성,40,171,88,30.1,비만 2단계,4,채식
남성,29,165,75,27.5,비만 1단계,3,저염식
여성,14,179,41,12.8,저체중,0,없음
남성,11,175,50,16.3,저체중,0,없음
여성,18,157,91,36.9,비만 3단계,5,단백질식
남성,24,150,48,21.3,정상,0,없음
여성,39,156,95,39,비만 3단계,5,단백질식
남성,18,163,66,24.8,비만 3단계,5,단백질식
여성,20,159,62,24.5,비만 3단계,5,단백질식
여성,13,181,65,19.8,정상,0,없음
여성,16,172,73,24.7,비만 3단계,5,단백질식
남성,21,174,62,20.5,정상,0,없음
남성,18,176,54,17.4,저체중,0,없음
여성,27,157,75,30.4,비만 2단계,4,단백질식
여성,11,160,79,30.9,비만 2단계,4,저염식
여성,12,162,62,23.6,비만 3단계,5,단백질식
남성,31,171,60,20.5,정상,0,없음
여성,18,154,50,21.1,정상,0,없음
남성,31,169,50,17.5,저체중,0,없음
여성,16,154,88,37.1,비만 3단계,5,저염식
남성,13,180,98,30.2,비만 2단계,4,저염식
남성,32,172,49,16.6,저체중,0,없음
여성,21,156,78,32.1,비만 2단계,4,저염식
여성,26,178,61,19.3,정상,0,없음
여성,36,182,84,25.4,비만 1단계,3,단백질식
여성,37,154,93,39.2,비만 3단계,5,단백질식
여성,30,175,54,17.6,저체중,0,없음
여성,29,158,100,40.1,비만 3단계,5,저염식
여성,31,179,75,23.4,비만 3단계,5,채식
남성,17,185,84,24.5,비만 3단계,5,채식
여성,10,155,51,21.2,정상,0,없음
남성,38,177,80,25.5,비만 1단계,3,단백질식
여성,30,156,80,32.9,비만 2단계,4,저염식
여성,37,157,82,33.3,비만 2단계,4,단백질식
여성,26,167,66,23.7,비만 3단계,5,단백질식
여성,34,173,84,28.1,비만 1단계,3,저염식
남성,31,168,45,15.9,저체중,0,없음
여성,15,155,75,31.2,비만 2단계,4,저염식
남성,33,185,88,25.7,비만 1단계,3,단백질식
남성,18,168,66,23.4,비만 3단계,5,저염식
여성,32,183,80,23.9,비만 3단계,5,저염식
남성,30,177,71,22.7,정상,0,없음
여성,40,176,66,21.3,정상,0,없음
여성,31,163,48,18.1,저체중,0,없음
남성,18,171,56,19.2,정상,0,없음
여성,14,172,74,25,비만 1단계,3,저염식
여성,30,151,51,22.4,정상,0,없음
남성,21,179,62,19.4,정상,0,없음
여성,38,164,73,27.1,비만 1단계,3,채식
여성,40,161,71,27.4,비만 1단계,3,단백질식
여성,22,168,43,15.2,저체중,0,없음
남성,32,184,81,23.9,비만 3단계,5,저염식
여성,19,182,88,26.6,비만 1단계,3,채식
남성,15,184,46,13.6,저체중,0,없음
여성,14,176,63,20.3,정상,0,없음
남성,22,173,70,23.4,비만 3단계,5,저염식
남성,18,167,68,24.4,비만 3단계,5,채식
남성,38,167,46,16.5,저체중,0,없음
남성,36,173,50,16.7,저체중,0,없음
남성,10,181,60,18.3,저체중,0,없음
여성,21,154,84,35.4,비만 3단계,5,채식
여성,37,172,98,33.1,비만 2단계,4,단백질식
남성,17,151,87,38.2,비만 3단계,5,채식
남성,37,181,92,28.1,비만 1단계,3,단백질식
남성,36,150,66,29.3,비만 1단계,3,채식
여성,25,177,91,29,비만 1단계,3,저염식
여성,22,171,57,19.5,정상,0,없음
여성,10,185,49,14.3,저체중,0,없음
남성,23,157,87,35.3,비만 3단계,5,채식
남성,17,168,92,32.6,비만 2단계,4,채식
여성,37,161,82,31.6,비만 2단계,4,단백질식
남성,32,154,77,32.5,비만 2단계,4,저염식
여성,22,158,83,33.2,비만 2단계,4,저염식
여성,30,175,99,32.3,비만 2단계,4,저염식
여성,16,180,41,12.7,저체중,0,없음
남성,37,173,73,24.4,비만 3단계,5,단백질식
여성,29,163,60,22.6,정상,0,없음
여성,19,159,74,29.3,비만 1단계,3,채식
여성,30,150,46,20.4,정상,0,없음
남성,11,184,75,22.2,정상,0,없음
여성,10,157,51,20.7,정상,0,없음
남성,14,161,71,27.4,비만 1단계,3,채식
남성,11,182,53,16,저체중,0,없음
여성,13,163,65,24.5,비만 3단계,5,단백질식
남성,25,166,46,16.7,저체중,0,없음
남성,31,177,83,26.5,비만 1단계,3,채식
여성,13,154,73,30.8,비만 2단계,4,단백질식
남성,11,154,46,19.4,정상,0,없음
남성,26,179,60,18.7,정상,0,없음
남성,14,165,72,26.4,비만 1단계,3,채식
남성,38,151,62,27.2,비만 1단계,3,단백질식
여성,34,169,89,31.2,비만 2단계,4,채식
여성,33,158,51,20.4,정상,0,없음
여성,21,150,86,38.2,비만 3단계,5,채식
여성,19,156,97,39.9,비만 3단계,5,단백질식
남성,32,166,63,22.9,정상,0,없음
남성,36,171,54,18.5,정상,0,없음
여성,28,167,76,27.3,비만 1단계,3,저염식
여성,16,169,80,28,비만 1단계,3,채식
여성,20,168,66,23.4,비만 3단계,5,채식
여성,16,153,86,36.7,비만 3단계,5,단백질식
남성,27,175,48,15.7,저체중,0,없음
여성,14,155,86,35.8,비만 3단계,5,채식
남성,12,160,90,35.2,비만 3단계,5,저염식
여성,16,154,53,22.3,정상,0,없음
여성,37,181,52,15.9,저체중,0,없음
남성,30,158,51,20.4,정상,0,없음
남성,18,178,83,26.2,비만 1단계,3,저염식
여성,31,177,67,21.4,정상,0,없음
여성,22,178,43,13.6,저체중,0,없음
여성,13,151,91,39.9,비만 3단계,5,저염식
여성,20,171,57,19.5,정상,0,없음
여성,27,175,64,20.9,정상,0,없음
여성,16,161,58,22.4,정상,0,없음
남성,34,170,73,25.3,비만 1단계,3,채식
남성,34,178,59,18.6,정상,0,없음
남성,40,165,69,25.3,비만 1단계,3,단백질식
남성,25,169,52,18.2,저체중,0,없음
여성,21,185,48,14,저체중,0,없음
여성,26,184,55,16.2,저체중,0,없음
남성,36,159,73,28.9,비만 1단계,3,채식
남성,26,153,79,33.7,비만 2단계,4,단백질식
여성,10,168,49,17.4,저체중,0,없음
여성,18,164,100,37.2,비만 3단계,5,단백질식
남성,27,151,91,39.9,비만 3단계,5,저염식
남성,38,151,98,43,비만 3단계,5,단백질식
여성,34,161,97,37.4,비만 3단계,5,채식
남성,22,170,52,18,저체중,0,없음
여성,16,179,68,21.2,정상,0,없음
여성,39,179,87,27.2,비만 1단계,3,단백질식
남성,11,166,45,16.3,저체중,0,없음
여성,36,182,66,19.9,정상,0,없음
여성,37,174,42,13.9,저체중,0,없음
여성,27,161,66,25.5,비만 1단계,3,단백질식
여성,34,158,77,30.8,비만 2단계,4,채식
여성,34,170,54,18.7,정상,0,없음
남성,35,154,46,19.4,정상,0,없음
여성,33,181,87,26.6,비만 1단계,3,저염식
남성,32,154,42,17.7,저체중,0,없음
여성,32,156,42,17.3,저체중,0,없음
여성,14,166,57,20.7,정상,0,없음
여성,32,173,74,24.7,비만 3단계,5,채식
여성,30,177,85,27.1,비만 1단계,3,저염식
남성,27,152,60,26,비만 1단계,3,채식
남성,40,172,73,24.7,비만 3단계,5,채식
여성,17,184,40,11.8,저체중,0,없음
여성,26,171,77,26.3,비만 1단계,3,채식
여성,18,154,62,26.1,비만 1단계,3,채식
남성,21,153,96,41,비만 3단계,5,채식
남성,32,182,89,26.9,비만 1단계,3,단백질식
여성,38,185,46,13.4,저체중,0,없음
여성,13,161,41,15.8,저체중,0,없음
여성,21,153,44,18.8,정상,0,없음
남성,15,150,78,34.7,비만 2단계,4,채식
여성,31,160,81,31.6,비만 2단계,4,채식
남성,35,156,56,23,비만 3단계,5,저염식
남성,33,161,73,28.2,비만 1단계,3,저염식
남성,12,171,88,30.1,비만 2단계,4,채식
여성,38,182,79,23.8,비만 3단계,5,단백질식
남성,20,165,93,34.2,비만 2단계,4,단백질식
여성,36,157,54,21.9,정상,0,없음
남성,14,182,54,16.3,저체중,0,없음
남성,11,172,60,20.3,정상,0,없음
남성,10,180,58,17.9,저체중,0,없음
여성,19,185,64,18.7,정상,0,없음
여성,13,170,79,27.3,비만 1단계,3,단백질식
남성,40,151,73,32,비만 2단계,4,저염식
남성,13,183,67,20,정상,0,없음
남성,13,175,46,15,저체중,0,없음
남성,11,183,97,29,비만 1단계,3,단백질식
여성,11,157,98,39.8,비만 3단계,5,채식
남성,32,180,61,18.8,정상,0,없음
남성,23,172,92,31.1,비만 2단계,4,단백질식
여성,20,155,73,30.4,비만 2단계,4,채식
여성,22,155,40,16.6,저체중,0,없음
남성,26,152,50,21.6,정상,0,없음
여성,22,157,88,35.7,비만 3단계,5,저염식
여성,40,158,98,39.3,비만 3단계,5,단백질식
남성,24,158,89,35.7,비만 3단계,5,단백질식
남성,16,182,54,16.3,저체중,0,없음
남성,31,181,58,17.7,저체중,0,없음
남성,24,172,78,26.4,비만 1단계,3,저염식
남성,10,170,58,20.1,정상,0,없음
남성,15,163,76,28.6,비만 1단계,3,단백질식
남성,21,161,58,22.4,정상,0,없음
여성,33,176,76,24.5,비만 3단계,5,단백질식
여성,12,177,53,16.9,저체중,0,없음
남성,23,158,75,30,비만 2단계,4,저염식
여성,27,185,61,17.8,저체중,0,없음
남성,13,184,74,21.9,정상,0,없음
여성,27,175,46,15,저체중,0,없음
여성,36,150,85,37.8,비만 3단계,5,단백질식
남성,31,183,83,24.8,비만 3단계,5,단백질식
여성,21,174,75,24.8,비만 3단계,5,채식
남성,28,164,62,23.1,비만 3단계,5,단백질식
여성,37,162,60,22.9,정상,0,없음
여성,19,179,60,18.7,정상,0,없음
여성,25,180,73,22.5,정상,0,없음
여성,17,162,78,29.7,비만 1단계,3,단백질식
남성,20,152,51,22.1,정상,0,없음
여성,26,172,80,27,비만 1단계,3,저염식
여성,14,150,72,32,비만 2단계,4,채식
남성,14,150,70,31.1,비만 2단계,4,채식
여성,36,152,91,39.4,비만 3단계,5,단백질식
여성,16,163,58,21.8,정상,0,없음
남성,22,170,71,24.6,비만 3단계,5,저염식
여성,25,152,67,29,비만 1단계,3,저염식
여성,36,158,88,35.3,비만 3단계,5,단백질식
남성,11,166,51,18.5,정상,0,없음
여성,11,173,48,16,저체중,0,없음
남성,38,157,82,33.3,비만 2단계,4,단백질식
남성,25,172,70,23.7,비만 3단계,5,채식
남성,11,168,86,30.5,비만 2단계,4,단백질식
남성,11,150,65,28.9,비만 1단계,3,저염식
여성,25,160,100,39.1,비만 3단계,5,채식
여성,16,174,43,14.2,저체중,0,없음
여성,16,179,75,23.4,비만 3단계,5,채식
남성,21,152,48,20.8,정상,0,없음
남성,33,183,56,16.7,저체중,0,없음
남성,16,185,56,16.4,저체중,0,없음
남성,20,185,70,20.5,정상,0,없음
여성,15,170,40,13.8,저체중,0,없음
여성,18,171,60,20.5,정상,0,없음
여성,15,150,54,24,비만 3단계,5,저염식
남성,20,181,57,17.4,저체중,0,없음
여성,24,174,83,27.4,비만 1단계,3,채식
여성,30,156,63,25.9,비만 1단계,3,단백질식
남성,19,182,68,20.5,정상,0,없음
남성,36,175,67,21.9,정상,0,없음
여성,20,163,59,22.2,정상,0,없음
남성,13,157,82,33.3,비만 2단계,4,단백질식
남성,16,150,77,34.2,비만 2단계,4,저염식
여성,21,183,58,17.3,저체중,0,없음
여성,30,156,54,22.2,정상,0,없음
여성,14,166,40,14.5,저체중,0,없음
남성,27,183,99,29.6,비만 1단계,3,채식
남성,17,171,73,25,비만 1단계,3,채식
남성,23,167,69,24.7,비만 3단계,5,단백질식
남성,11,161,80,30.9,비만 2단계,4,채식
여성,19,170,93,32.2,비만 2단계,4,채식
남성,25,150,96,42.7,비만 3단계,5,저염식
남성,20,165,93,34.2,비만 2단계,4,단백질식
여성,15,156,50,20.5,정상,0,없음
여성,11,184,45,13.3,저체중,0,없음
여성,16,163,61,23,비만 3단계,5,저염식
여성,13,152,100,43.3,비만 3단계,5,단백질식
여성,37,160,44,17.2,저체중,0,없음
남성,25,157,63,25.6,비만 1단계,3,단백질식
남성,23,174,54,17.8,저체중,0,없음
남성,22,179,72,22.5,정상,0,없음
남성,32,182,88,26.6,비만 1단계,3,저염식
남성,33,176,40,12.9,저체중,0,없음
남성,20,175,86,28.1,비만 1단계,3,단백질식
남성,11,152,51,22.1,정상,0,없음
여성,29,184,99,29.2,비만 1단계,3,저염식
여성,20,158,64,25.6,비만 1단계,3,저염식
남성,23,157,40,16.2,저체중,0,없음
남성,12,172,43,14.5,저체중,0,없음
남성,13,155,87,36.2,비만 3단계,5,채식
남성,14,178,72,22.7,정상,0,없음
남성,11,153,95,40.6,비만 3단계,5,채식
남성,34,151,60,26.3,비만 1단계,3,단백질식
남성,12,185,49,14.3,저체중,0,없음
남성,21,167,75,26.9,비만 1단계,3,저염식
여성,14,164,57,21.2,정상,0,없음
남성,31,171,59,20.2,정상,0,없음
남성,25,151,54,23.7,비만 3단계,5,단백질식
남성,40,153,92,39.3,비만 3단계,5,채식
남성,12,171,69,23.6,비만 3단계,5,단백질식
여성,40,170,80,27.7,비만 1단계,3,채식
남성,37,160,55,21.5,정상,0,없음
여성,27,163,98,36.9,비만 3단계,5,채식
여성,15,172,64,21.6,정상,0,없음
남성,27,161,90,34.7,비만 2단계,4,저염식
남성,29,185,92,26.9,비만 1단계,3,단백질식
여성,38,159,66,26.1,비만 1단계,3,채식
남성,38,174,41,13.5,저체중,0,없음
남성,19,169,81,28.4,비만 1단계,3,채식
여성,40,161,54,20.8,정상,0,없음
남성,23,157,99,40.2,비만 3단계,5,단백질식
남성,20,177,76,24.3,비만 3단계,5,채식
남성,12,171,59,20.2,정상,0,없음
여성,12,155,46,19.1,정상,0,없음
남성,34,178,97,30.6,비만 2단계,4,단백질식
남성,14,167,77,27.6,비만 1단계,3,저염식
여성,24,162,75,28.6,비만 1단계,3,저염식
여성,25,164,41,15.2,저체중,0,없음
남성,38,154,98,41.3,비만 3단계,5,단백질식
여성,34,179,41,12.8,저체중,0,없음
남성,38,183,48,14.3,저체중,0,없음
남성,30,178,46,14.5,저체중,0,없음
남성,19,176,63,20.3,정상,0,없음
여성,17,182,50,15.1,저체중,0,없음
여성,30,157,96,38.9,비만 3단계,5,단백질식
여성,34,176,99,32,비만 2단계,4,저염식
남성,30,183,86,25.7,비만 1단계,3,채식
여성,28,159,85,33.6,비만 2단계,4,채식
남성,38,155,99,41.2,비만 3단계,5,저염식
남성,36,182,53,16,저체중,0,없음
여성,25,173,74,24.7,비만 3단계,5,단백질식
남성,28,184,85,25.1,비만 1단계,3,채식
여성,24,172,82,27.7,비만 1단계,3,저염식
여성,15,163,57,21.5,정상,0,없음
남성,22,155,80,33.3,비만 2단계,4,채식
여성,25,156,47,19.3,정상,0,없음
남성,19,167,79,28.3,비만 1단계,3,단백질식
여성,27,158,77,30.8,비만 2단계,4,단백질식
여성,31,168,50,17.7,저체중,0,없음
남성,16,170,59,20.4,정상,0,없음
남성,29,185,89,26,비만 1단계,3,단백질식
남성,24,178,80,25.2,비만 1단계,3,단백질식
남성,10,178,50,15.8,저체중,0,없음
여성,31,184,54,15.9,저체중,0,없음
남성,39,175,58,18.9,정상,0,없음
여성,37,180,71,21.9,정상,0,없음
남성,21,166,78,28.3,비만 1단계,3,단백질식
여성,40,158,43,17.2,저체중,0,없음
여성,30,176,40,12.9,저체중,0,없음
여성,11,171,74,25.3,비만 1단계,3,단백질식
남성,23,169,68,23.8,비만 3단계,5,저염식
남성,21,162,66,25.1,비만 1단계,3,단백질식
여성,38,157,98,39.8,비만 3단계,5,채식
여성,26,168,83,29.4,비만 1단계,3,저염식
여성,34,164,87,32.3,비만 2단계,4,저염식
남성,31,182,52,15.7,저체중,0,없음
남성,38,150,98,43.6,비만 3단계,5,단백질식
여성,21,156,62,25.5,비만 1단계,3,단백질식
남성,18,175,89,29.1,비만 1단계,3,저염식
여성,22,166,63,22.9,정상,0,없음
남성,36,165,43,15.8,저체중,0,없음
여성,14,167,96,34.4,비만 2단계,4,단백질식
남성,21,185,69,20.2,정상,0,없음
남성,28,183,51,15.2,저체중,0,없음
남성,31,179,74,23.1,비만 3단계,5,채식
남성,39,181,49,15,저체중,0,없음
여성,21,172,96,32.4,비만 2단계,4,저염식
남성,38,168,73,25.9,비만 1단계,3,저염식
여성,37,166,44,16,저체중,0,없음
여성,11,166,71,25.8,비만 1단계,3,채식
여성,18,183,65,19.4,정상,0,없음
남성,31,159,96,38,비만 3단계,5,저염식
남성,21,157,62,25.2,비만 1단계,3,채식
남성,10,166,42,15.2,저체중,0,없음
남성,18,156,51,21,정상,0,없음
여성,19,150,94,41.8,비만 3단계,5,저염식
남성,29,179,51,15.9,저체중,0,없음
남성,36,179,93,29,비만 1단계,3,저염식
남성,11,160,41,16,저체중,0,없음
여성,37,163,85,32,비만 2단계,4,단백질식
여성,25,159,94,37.2,비만 3단계,5,저염식
여성,24,160,67,26.2,비만 1단계,3,단백질식
남성,40,150,56,24.9,비만 3단계,5,저염식
남성,37,161,58,22.4,정상,0,없음
남성,14,168,66,23.4,비만 3단계,5,단백질식
남성,19,159,93,36.8,비만 3단계,5,채식
여성,16,160,81,31.6,비만 2단계,4,단백질식
남성,40,176,99,32,비만 2단계,4,단백질식
여성,27,166,75,27.2,비만 1단계,3,저염식
여성,16,183,52,15.5,저체중,0,없음
여성,14,150,41,18.2,저체중,0,없음
여성,21,154,100,42.2,비만 3단계,5,채식
남성,29,167,72,25.8,비만 1단계,3,채식
남성,10,164,86,32,비만 2단계,4,저염식
여성,24,154,88,37.1,비만 3단계,5,저염식
남성,11,171,73,25,비만 1단계,3,저염식
남성,21,156,93,38.2,비만 3단계,5,저염식
여성,18,161,65,25.1,비만 1단계,3,채식
남성,19,152,87,37.7,비만 3단계,5,단백질식
남성,21,180,50,15.4,저체중,0,없음
남성,36,168,97,34.4,비만 2단계,4,저염식
여성,21,166,100,36.3,비만 3단계,5,채식
여성,31,154,87,36.7,비만 3단계,5,단백질식
남성,20,154,97,40.9,비만 3단계,5,저염식
여성,30,153,95,40.6,비만 3단계,5,단백질식
남성,34,175,68,22.2,정상,0,없음
여성,12,158,91,36.5,비만 3단계,5,저염식
여성,30,176,51,16.5,저체중,0,없음
여성,25,176,72,23.2,비만 3단계,5,채식
여성,24,174,82,27.1,비만 1단계,3,단백질식
여성,34,161,49,18.9,정상,0,없음
남성,10,183,71,21.2,정상,0,없음
남성,29,179,49,15.3,저체중,0,없음
여성,25,161,41,15.8,저체중,0,없음
여성,22,155,73,30.4,비만 2단계,4,단백질식
남성,17,174,61,20.1,정상,0,없음
여성,25,157,92,37.3,비만 3단계,5,단백질식
여성,22,152,82,35.5,비만 3단계,5,저염식
여성,29,184,64,18.9,정상,0,없음
남성,12,161,47,18.1,저체중,0,없음
여성,36,170,77,26.6,비만 1단계,3,단백질식
여성,26,171,85,29.1,비만 1단계,3,단백질식
남성,38,173,46,15.4,저체중,0,없음
남성,31,165,96,35.3,비만 3단계,5,저염식
여성,25,164,93,34.6,비만 2단계,4,저염식
남성,15,150,89,39.6,비만 3단계,5,채식
남성,12,150,56,24.9,비만 3단계,5,채식
남성,11,171,42,14.4,저체중,0,없음
여성,30,176,77,24.9,비만 3단계,5,단백질식
남성,16,174,90,29.7,비만 1단계,3,저염식
남성,35,170,51,17.6,저체중,0,없음
남성,14,152,73,31.6,비만 2단계,4,채식
남성,14,181,59,18,저체중,0,없음
남성,20,158,70,28,비만 1단계,3,채식
남성,28,180,46,14.2,저체중,0,없음
남성,35,164,99,36.8,비만 3단계,5,저염식
여성,17,181,86,26.3,비만 1단계,3,단백질식
여성,23,150,64,28.4,비만 1단계,3,저염식
남성,38,165,92,33.8,비만 2단계,4,저염식
남성,29,177,98,31.3,비만 2단계,4,저염식
여성,13,174,48,15.9,저체중,0,없음
남성,34,162,77,29.3,비만 1단계,3,단백질식
남성,31,179,85,26.5,비만 1단계,3,채식
여성,36,176,46,14.9,저체중,0,없음
여성,13,160,83,32.4,비만 2단계,4,단백질식
여성,32,157,87,35.3,비만 3단계,5,저염식
여성,34,184,79,23.3,비만 3단계,5,채식
여성,37,173,67,22.4,정상,0,없음
남성,19,151,83,36.4,비만 3단계,5,채식
남성,13,173,40,13.4,저체중,0,없음
여성,15,157,93,37.7,비만 3단계,5,채식
여성,21,184,69,20.4,정상,0,없음
남성,25,161,85,32.8,비만 2단계,4,단백질식
남성,29,177,95,30.3,비만 2단계,4,저염식
여성,15,154,43,18.1,저체중,0,없음
여성,40,173,95,31.7,비만 2단계,4,채식
여성,39,168,77,27.3,비만 1단계,3,저염식
여성,15,161,40,15.4,저체중,0,없음
남성,20,168,94,33.3,비만 2단계,4,단백질식
남성,10,159,54,21.4,정상,0,없음
남성,38,185,75,21.9,정상,0,없음
남성,39,179,87,27.2,비만 1단계,3,채식
남성,22,176,47,15.2,저체중,0,없음
남성,40,156,57,23.4,비만 3단계,5,단백질식
남성,26,176,100,32.3,비만 2단계,4,단백질식
여성,20,159,94,37.2,비만 3단계,5,단백질식
남성,36,185,94,27.5,비만 1단계,3,단백질식
남성,21,171,86,29.4,비만 1단계,3,저염식
남성,23,161,88,33.9,비만 2단계,4,저염식
여성,22,184,47,13.9,저체중,0,없음
남성,13,184,67,19.8,정상,0,없음
여성,29,179,84,26.2,비만 1단계,3,저염식
여성,13,159,50,19.8,정상,0,없음
남성,10,179,98,30.6,비만 2단계,4,저염식
여성,23,165,96,35.3,비만 3단계,5,채식
남성,32,172,47,15.9,저체중,0,없음
여성,36,177,85,27.1,비만 1단계,3,채식
여성,27,179,51,15.9,저체중,0,없음
남성,26,153,53,22.6,정상,0,없음
여성,23,153,67,28.6,비만 1단계,3,저염식
남성,32,172,92,31.1,비만 2단계,4,채식
여성,29,156,90,37,비만 3단계,5,저염식
남성,23,174,53,17.5,저체중,0,없음
남성,19,161,43,16.6,저체중,0,없음
남성,33,175,89,29.1,비만 1단계,3,채식
남성,13,159,58,22.9,정상,0,없음
여성,37,174,41,13.5,저체중,0,없음
남성,27,179,66,20.6,정상,0,없음
남성,13,173,56,18.7,정상,0,없음
남성,22,181,67,20.5,정상,0,없음
남성,29,174,81,26.8,비만 1단계,3,저염식
남성,20,163,80,30.1,비만 2단계,4,단백질식
여성,20,150,86,38.2,비만 3단계,5,단백질식
여성,17,184,54,15.9,저체중,0,없음
남성,27,182,90,27.2,비만 1단계,3,단백질식
여성,31,167,91,32.6,비만 2단계,4,단백질식
남성,19,169,92,32.2,비만 2단계,4,채식
남성,18,171,81,27.7,비만 1단계,3,저염식
남성,21,184,89,26.3,비만 1단계,3,단백질식
여성,30,180,43,13.3,저체중,0,없음
남성,26,155,48,20,정상,0,없음
남성,19,173,52,17.4,저체중,0,없음
남성,21,161,53,20.4,정상,0,없음
여성,27,153,100,42.7,비만 3단계,5,저염식
여성,35,165,62,22.8,정상,0,없음
여성,34,176,71,22.9,정상,0,없음
남성,23,169,99,34.7,비만 2단계,4,저염식
남성,14,172,62,21,정상,0,없음
여성,11,157,49,19.9,정상,0,없음
남성,26,157,71,28.8,비만 1단계,3,단백질식
남성,28,171,40,13.7,저체중,0,없음
여성,26,180,40,12.3,저체중,0,없음
여성,29,161,73,28.2,비만 1단계,3,단백질식
남성,27,180,65,20.1,정상,0,없음
남성,12,173,72,24.1,비만 3단계,5,저염식
여성,26,172,64,21.6,정상,0,없음
남성,35,164,72,26.8,비만 1단계,3,채식
남성,16,163,91,34.3,비만 2단계,4,채식
남성,23,171,94,32.1,비만 2단계,4,단백질식
남성,14,167,49,17.6,저체중,0,없음
남성,34,150,46,20.4,정상,0,없음
남성,37,181,42,12.8,저체중,0,없음
남성,33,158,56,22.4,정상,0,없음
남성,40,181,72,22,정상,0,없음
여성,22,171,72,24.6,비만 3단계,5,저염식
여성,31,169,72,25.2,비만 1단계,3,단백질식
남성,31,170,40,13.8,저체중,0,없음
남성,20,158,82,32.8,비만 2단계,4,단백질식
여성,24,176,55,17.8,저체중,0,없음
남성,29,157,71,28.8,비만 1단계,3,채식
여성,34,167,88,31.6,비만 2단계,4,저염식
여성,40,157,56,22.7,정상,0,없음
여성,27,182,68,20.5,정상,0,없음
남성,13,151,42,18.4,저체중,0,없음
여성,20,161,43,16.6,저체중,0,없음
여성,35,154,45,19,정상,0,없음
남성,22,179,78,24.3,비만 3단계,5,저염식
여성,26,175,56,18.3,저체중,0,없음
남성,20,160,62,24.2,비만 3단계,5,저염식
남성,12,174,40,13.2,저체중,0,없음
여성,16,165,60,22,정상,0,없음
남성,28,173,64,21.4,정상,0,없음
여성,11,185,77,22.5,정상,0,없음
여성,31,184,45,13.3,저체중,0,없음
남성,26,163,97,36.5,비만 3단계,5,저염식
남성,25,172,93,31.4,비만 2단계,4,채식
여성,35,156,92,37.8,비만 3단계,5,저염식
여성,39,174,80,26.4,비만 1단계,3,단백질식
남성,21,154,63,26.6,비만 1단계,3,채식
남성,40,175,66,21.6,정상,0,없음
남성,27,156,46,18.9,정상,0,없음
남성,37,164,78,29,비만 1단계,3,채식
남성,14,175,78,25.5,비만 1단계,3,채식
여성,13,164,54,20.1,정상,0,없음
남성,38,184,66,19.5,정상,0,없음
여성,17,171,54,18.5,정상,0,없음
남성,14,180,58,17.9,저체중,0,없음
남성,13,170,73,25.3,비만 1단계,3,저염식
여성,20,158,72,28.8,비만 1단계,3,단백질식
여성,15,158,97,38.9,비만 3단계,5,채식
여성,35,183,68,20.3,정상,0,없음
남성,15,162,87,33.2,비만 2단계,4,저염식
여성,27,160,66,25.8,비만 1단계,3,채식
여성,27,170,74,25.6,비만 1단계,3,저염식
남성,11,179,84,26.2,비만 1단계,3,채식
여성,14,173,68,22.7,정상,0,없음
여성,25,154,86,36.3,비만 3단계,5,채식
여성,23,185,89,26,비만 1단계,3,저염식
남성,22,175,81,26.4,비만 1단계,3,채식
여성,39,179,78,24.3,비만 3단계,5,단백질식
남성,13,154,63,26.6,비만 1단계,3,저염식
남성,11,171,65,22.2,정상,0,없음
남성,11,168,74,26.2,비만 1단계,3,단백질식
여성,35,167,47,16.9,저체중,0,없음
남성,17,178,63,19.9,정상,0,없음
남성,17,174,59,19.5,정상,0,없음
남성,13,168,60,21.3,정상,0,없음
남성,37,174,61,20.1,정상,0,없음
남성,22,182,75,22.6,정상,0,없음
남성,28,178,82,25.9,비만 1단계,3,채식
여성,37,180,69,21.3,정상,0,없음
여성,22,151,72,31.6,비만 2단계,4,단백질식
여성,21,182,51,15.4,저체중,0,없음
여성,16,154,93,39.2,비만 3단계,5,저염식
남성,19,154,89,37.5,비만 3단계,5,단백질식
남성,34,175,54,17.6,저체중,0,없음
남성,24,156,77,31.6,비만 2단계,4,채식
남성,40,169,97,34,비만 2단계,4,단백질식
남성,15,171,50,17.1,저체중,0,없음
여성,24,170,49,17,저체중,0,없음
남성,19,170,53,18.3,저체중,0,없음
여성,37,170,93,32.2,비만 2단계,4,저염식
여성,10,175,97,31.7,비만 2단계,4,채식
여성,40,177,100,31.9,비만 2단계,4,채식
여성,36,163,76,28.6,비만 1단계,3,단백질식
여성,39,156,44,18.1,저체중,0,없음
여성,12,174,96,31.7,비만 2단계,4,단백질식
남성,14,151,96,42.1,비만 3단계,5,단백질식
남성,17,155,50,20.8,정상,0,없음
여성,14,169,99,34.7,비만 2단계,4,저염식
남성,31,182,75,22.6,정상,0,없음
여성,39,170,70,24.2,비만 3단계,5,저염식
여성,27,173,79,26.4,비만 1단계,3,저염식
남성,10,161,88,33.9,비만 2단계,4,단백질식
여성,21,156,55,22.6,정상,0,없음
남성,23,181,44,13.4,저체중,0,없음
남성,12,167,55,19.7,정상,0,없음
남성,28,165,47,17.3,저체중,0,없음
남성,21,154,41,17.3,저체중,0,없음
여성,32,166,61,22.1,정상,0,없음
여성,24,178,86,27.1,비만 1단계,3,단백질식
남성,28,151,66,28.9,비만 1단계,3,채식
여성,15,152,93,40.3,비만 3단계,5,단백질식
남성,16,174,62,20.5,정상,0,없음
